,anchovy
2007,810.1582695
2007.041667,485.630194
2007.083333,343.4175456
2007.125,397.2319691
2007.166667,421.2130468
2007.208333,349.8725139
2007.25,285.9114704
2007.291667,272.2548224
2007.333333,284.8386573
2007.375,301.8980609
2007.416667,307.7843605
2007.458333,307.6566507
2007.5,326.1987533
2007.541667,364.7007947
2007.583333,400.3823352
2007.625,414.4196181
2007.666667,394.2707099
2007.708333,356.8013244
2007.75,347.1669702
2007.791667,391.0943564
2007.833333,491.3796392
2007.875,598.568442
2007.916667,616.0854314
2007.958333,542.4049783
2008,470.585863
2008.041667,435.8641252
2008.083333,411.5682177
2008.125,371.6595465
2008.166667,295.3880155
2008.208333,207.173468
2008.25,173.436832
2008.291667,193.0038874
2008.333333,197.494734
2008.375,169.4883328
2008.416667,144.8576317
2008.458333,145.9777944
2008.5,178.0054464
2008.541667,213.813851
2008.583333,199.4885783
2008.625,190.2970606
2008.666667,343.588233
2008.708333,626.6150687
2008.75,821.7545532
2008.791667,933.5245591
2008.833333,1183.022747
2008.875,1478.565474
2008.916667,1423.371287
2008.958333,1013.958766
2009,644.2620867
