Fis\Species,anchovy,hake,sardine,jurel,caballa,meso,munida,pota,euphausidos
fis0,100,0,0,0,0,0,0,0,0
fis1,0,100,0,0,0,0,0,0,0
fis2,0,0,100,0,0,0,0,0,0
fis3,0,0,0,100,0,0,0,0,0
fis4,0,0,0,0,100,0,0,0,0
fis5,0,0,0,0,0,100,0,0,0
fis6,0,0,0,0,0,0,100,0,0
fis7,0,0,0,0,0,0,0,100,0
fis8,0,0,0,0,0,0,0,0,100
