;0;2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64;66;68;70;72;74;76;78;80;82;84;86;88;90
F.1992;0;0;0;0;5.65920652940301e-07;2.05145109039261e-06;6.63675244682442e-06;1.91619144878832e-05;4.9375442937755e-05;0.000113546026079054;0.000233035294101489;0.000426835263206447;0.000697730502801471;0.00101789728288919;0.00132528422454105;0.00153993691334197;0.00159692918582492;0.00147794140004455;0.00122072432583206;0.000899843141798014;0.000591977023550097;0.000347561544291917;0.000182115710886881;8.51631930848164e-05;3.55422802601473e-05;1.32381551143858e-05;4.4004639926525e-06;1.30544417756931e-06;3.45626447280763e-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F.1992;0;0;0;0;5.65920652940301e-07;2.05145109039261e-06;6.63675244682442e-06;1.91619144878832e-05;4.9375442937755e-05;0.000113546026079054;0.000233035294101489;0.000426835263206447;0.000697730502801471;0.00101789728288919;0.00132528422454105;0.00153993691334197;0.00159692918582492;0.00147794140004455;0.00122072432583206;0.000899843141798014;0.000591977023550097;0.000347561544291917;0.000182115710886881;8.51631930848164e-05;3.55422802601473e-05;1.32381551143858e-05;4.4004639926525e-06;1.30544417756931e-06;3.45626447280763e-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F.1992;0;0;0;0;5.68637947360052e-07;2.06130122851949e-06;6.66861912335465e-06;1.92539213143511e-05;4.96125214307741e-05;0.00011409122262109;0.000234154223939051;0.000428884732637961;0.000701080688365299;0.00102278476418591;0.00133164763858014;0.00154733099228158;0.00160459691581999;0.00148503780463447;0.00122658569063895;0.000904163780628131;0.000594819428849066;0.000349230377263319;0.000182990147969837;8.55721081299472e-05;3.57129381771439e-05;1.33017187338318e-05;4.42159302582954e-06;1.31171232869717e-06;3.47285988793579e-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F.1992;0;0;0;0;5.68637947360052e-07;2.06130122851949e-06;6.66861912335465e-06;1.92539213143511e-05;4.96125214307741e-05;0.00011409122262109;0.000234154223939051;0.000428884732637961;0.000701080688365299;0.00102278476418591;0.00133164763858014;0.00154733099228158;0.00160459691581999;0.00148503780463447;0.00122658569063895;0.000904163780628131;0.000594819428849066;0.000349230377263319;0.000182990147969837;8.55721081299472e-05;3.57129381771439e-05;1.33017187338318e-05;4.42159302582954e-06;1.31171232869717e-06;3.47285988793579e-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F.1992;0;0;0;0;4.10109074311874e-07;1.48663722256086e-06;4.80949473793343e-06;1.38861781626797e-05;3.57811949285364e-05;8.22840718131295e-05;0.000168875067996571;0.000309317240443118;0.000505628499572105;0.000737645658028838;0.0009604015752081;0.00111595521165046;0.00115725613959765;0.00107102855552332;0.000884629533585486;0.000652094663786023;0.000428991498862367;0.000251869484627203;0.000131974871780031;6.17157159753663e-05;2.57566349287483e-05;9.59337234177683e-06;3.18891032725718e-06;9.46023970758412e-07;2.50467166404984e-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F.1992;0;0;0;0;4.10109074311874e-07;1.48663722256086e-06;4.80949473793343e-06;1.38861781626797e-05;3.57811949285364e-05;8.22840718131295e-05;0.000168875067996571;0.000309317240443118;0.000505628499572105;0.000737645658028838;0.0009604015752081;0.00111595521165046;0.00115725613959765;0.00107102855552332;0.000884629533585486;0.000652094663786023;0.000428991498862367;0.000251869484627203;0.000131974871780031;6.17157159753663e-05;2.57566349287483e-05;9.59337234177683e-06;3.18891032725718e-06;9.46023970758412e-07;2.50467166404984e-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F.1992;0;0;0;0;1.41111904455239e-07;5.11527841859157e-07;1.65486941023189e-06;4.77800948303414e-06;1.23117308938407e-05;2.83126192693126e-05;5.81071816076958e-05;0.000106431063377482;0.000173978594941318;0.000253811949399661;0.000330458660410827;0.00038398215271626;0.000398193134534144;0.00036852361642919;0.000304386725485297;0.00022437523492096;0.000147609041573024;8.66642190484079e-05;4.54104204554951e-05;2.12353804429106e-05;8.8624418107609e-06;3.30092437863706e-06;1.09725250574201e-06;3.25511559084664e-07;8.61817040118373e-08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F.1992;0;0;0;0;1.41111904455239e-07;5.11527841859157e-07;1.65486941023189e-06;4.77800948303414e-06;1.23117308938407e-05;2.83126192693126e-05;5.81071816076958e-05;0.000106431063377482;0.000173978594941318;0.000253811949399661;0.000330458660410827;0.00038398215271626;0.000398193134534144;0.00036852361642919;0.000304386725485297;0.00022437523492096;0.000147609041573024;8.66642190484079e-05;4.54104204554951e-05;2.12353804429106e-05;8.8624418107609e-06;3.30092437863706e-06;1.09725250574201e-06;3.25511559084664e-07;8.61817040118373e-08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F.1992;0;0;0;0;2.22524771996409e-07;8.06647864465825e-07;2.60962701635489e-06;7.53462633016981e-06;1.94148404460239e-05;4.46472547574707e-05;9.16314423543759e-05;0.000167835224128251;0.000274353516246766;0.000400245793493907;0.000521112930521631;0.000605516177488622;0.000627926019529078;0.000581139018977735;0.000479999096807841;0.000353825909905886;0.00023277035660067;0.000136664129496679;7.16094329328921e-05;3.34868855293112e-05;1.39755242542033e-05;5.20535420147062e-06;1.7302995420927e-06;5.13311656781493e-07;1.35903233037148e-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F.1992;0;0;0;0;2.22524771996409e-07;8.06647864465825e-07;2.60962701635489e-06;7.53462633016981e-06;1.94148404460239e-05;4.46472547574707e-05;9.16314423543759e-05;0.000167835224128251;0.000274353516246766;0.000400245793493907;0.000521112930521631;0.000605516177488622;0.000627926019529078;0.000581139018977735;0.000479999096807841;0.000353825909905886;0.00023277035660067;0.000136664129496679;7.16094329328921e-05;3.34868855293112e-05;1.39755242542033e-05;5.20535420147062e-06;1.7302995420927e-06;5.13311656781493e-07;1.35903233037148e-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
