;0;0.5;1;1.5;2;2.5;3;3.5;4;4.5;5;5.5;6;6.5;7;7.5;8;8.5;9;9.5;10;10.5;11;11.5;12;12.5;13;13.5;14;14.5;15;15.5;16;16.5;17;17.5;18;18.5;19;19.5;20;20.5;21;21.5
F.1992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.58327845096908e-05;8.45784366296967e-05;0.000252171873499263;0.000684671414973501;0.00169284154034639;0.00381152680506328;0.00781502206979801;0.0145918379840407;0.0248106617984026;0.0384162755914812;0.0541677414005133;0.0695528221250583;0.0813274854878556;0.0865981258290013;0.083970782627798;0.0741474924556031;0.0596229274393876;0.0436594924517052;0.0291133800169003;0.0176788957780902;0.00977611274446226;0.0049229545596755;0.00225753250620207;0.000942737445145917;0.000358505697556374;0.000124150915501198;3.91518556189698e-05
F.1992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.58327845096908e-05;8.45784366296967e-05;0.000252171873499263;0.000684671414973501;0.00169284154034639;0.00381152680506328;0.00781502206979801;0.0145918379840407;0.0248106617984026;0.0384162755914812;0.0541677414005133;0.0695528221250583;0.0813274854878556;0.0865981258290013;0.083970782627798;0.0741474924556031;0.0596229274393876;0.0436594924517052;0.0291133800169003;0.0176788957780902;0.00977611274446226;0.0049229545596755;0.00225753250620207;0.000942737445145917;0.000358505697556374;0.000124150915501198;3.91518556189698e-05
F.1992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.63360006197596e-06;5.34852676327908e-06;1.5946712520381e-05;4.32968914177369e-05;0.000107051024413877;0.000241031330658088;0.000494202261965849;0.000922750988230861;0.00156896360267824;0.00242934826338938;0.0034254311870941;0.00439834484321559;0.0051429448220524;0.00547624680832178;0.00531010025858736;0.00468890019290781;0.00377040337729111;0.00276091605797234;0.00184105663801348;0.00111796872799062;0.000618216684277551;0.000311315215391273;0.00014276065519228;5.96163355227811e-05;2.26709950499965e-05;7.85099040256565e-06;2.47586448691312e-06
F.1992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.63360006197596e-06;5.34852676327908e-06;1.5946712520381e-05;4.32968914177369e-05;0.000107051024413877;0.000241031330658088;0.000494202261965849;0.000922750988230861;0.00156896360267824;0.00242934826338938;0.0034254311870941;0.00439834484321559;0.0051429448220524;0.00547624680832178;0.00531010025858736;0.00468890019290781;0.00377040337729111;0.00276091605797234;0.00184105663801348;0.00111796872799062;0.000618216684277551;0.000311315215391273;0.00014276065519228;5.96163355227811e-05;2.26709950499965e-05;7.85099040256565e-06;2.47586448691312e-06
F.1992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0689514260152e-07;1.00479727072191e-06;2.9958180872301e-06;8.13394047608972e-06;2.01110664524566e-05;4.52811837582048e-05;9.28429651726073e-05;0.000173351974397129;0.000294752259006477;0.000456387826540503;0.00064351625413345;0.000826292003341744;0.000966175761922047;0.00102879130839906;0.000997578302070071;0.000880876982586647;0.000708324215377044;0.000518677580299161;0.000345868828369901;0.000210026419676869;0.000116140848605569;5.84850170157093e-05;2.68196314709531e-05;1.11997815239513e-05;4.25907076079031e-06;1.47492086664356e-06;4.65126564609806e-07
F.1992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0689514260152e-07;1.00479727072191e-06;2.9958180872301e-06;8.13394047608972e-06;2.01110664524566e-05;4.52811837582048e-05;9.28429651726073e-05;0.000173351974397129;0.000294752259006477;0.000456387826540503;0.00064351625413345;0.000826292003341744;0.000966175761922047;0.00102879130839906;0.000997578302070071;0.000880876982586647;0.000708324215377044;0.000518677580299161;0.000345868828369901;0.000210026419676869;0.000116140848605569;5.84850170157093e-05;2.68196314709531e-05;1.11997815239513e-05;4.25907076079031e-06;1.47492086664356e-06;4.65126564609806e-07
F.1992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.15173340487427e-05;7.04493343951711e-05;0.000210045743916822;0.000570294833841221;0.00141004686899149;0.00317479888664412;0.00650949727897349;0.0121542241089013;0.0206659602524203;0.0319987121210403;0.0451188444646189;0.0579337975407273;0.0677414651885474;0.0721316279613088;0.069943190965685;0.0617609132861899;0.0496627239775867;0.0363660325943371;0.0242498954333256;0.0147255788831968;0.00814298139412163;0.00410055902907335;0.00188040437698936;0.000785250096436692;0.000298616157689242;0.000103411102287265;3.26114111185144e-05
F.1992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.15173340487427e-05;7.04493343951711e-05;0.000210045743916822;0.000570294833841221;0.00141004686899149;0.00317479888664412;0.00650949727897349;0.0121542241089013;0.0206659602524203;0.0319987121210403;0.0451188444646189;0.0579337975407273;0.0677414651885474;0.0721316279613088;0.069943190965685;0.0617609132861899;0.0496627239775867;0.0363660325943371;0.0242498954333256;0.0147255788831968;0.00814298139412163;0.00410055902907335;0.00188040437698936;0.000785250096436692;0.000298616157689242;0.000103411102287265;3.26114111185144e-05
F.1992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.09150208783882e-05;0.000166699523438791;0.000497017121764043;0.00134945032252076;0.00333649910400507;0.00751231315329299;0.0154029857563192;0.0287597233404238;0.0489004723048116;0.0757164011133385;0.106761688168291;0.137084850040835;0.160292074594112;0.170680221598213;0.165501870271286;0.146140696719742;0.11751356475986;0.0860504979199787;0.0573808971636358;0.0348441472621988;0.0192681893934837;0.00970287713642353;0.00444947445149786;0.001858084508251;0.000706595336993441;0.000244694738673767;7.71661895572925e-05
F.1992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.09150208783882e-05;0.000166699523438791;0.000497017121764043;0.00134945032252076;0.00333649910400507;0.00751231315329299;0.0154029857563192;0.0287597233404238;0.0489004723048116;0.0757164011133385;0.106761688168291;0.137084850040835;0.160292074594112;0.170680221598213;0.165501870271286;0.146140696719742;0.11751356475986;0.0860504979199787;0.0573808971636358;0.0348441472621988;0.0192681893934837;0.00970287713642353;0.00444947445149786;0.001858084508251;0.000706595336993441;0.000244694738673767;7.71661895572925e-05
